"","CASEID","SITE","IDNUM","CASENO","JURORNO","RELVEVID","COMPLEX","EVIDENCE","UNDSDEXP","UNDSDJUD","KEYEVDNC","POLEVDNC","BELIEVBL","VICTEVID","DEFTEVID","DSYMPATH","VSYMPATH","PROSATTY","DEFTATTY","CONDUCTD","PROSSTRG","DEFSTRNG","HOWCLOSE","LEANING","NVCNGMD","POPEN","DFOPN","TESTSTAT","DFWITN","CLOSPRO","CLOSDF","JDFINSTR","JRDELIB","FAVORWHO","PERSNALY","DIFJUDGE","FIRSTVOT","SECRET","HOWVOTE","CERTAIN","VOTEPROS","VOTEDEFT","VOTEUNDC","DNTREMEM","FINLVOTE","VOTEPRO2","VOTEDEF2","VOTEUND2","DNTREME2","EXPRESSD","OPENMIND","PARTICIP","INFLUENC","DOMINATE","UNREASON","REMEVID","REMINSTR","POINTVU","CLOSFRND","CONFLICT","TIME","CONVINCE","EASYRCH","SATDELIB","SATVERDT","FAIRLAW","DIFFVERD","FAIROUTC","APPROPRI","ONEPERSN","POLICE","AMCOURTS","CRMSEVRE","PRESIDE","PREVIOUS","CIVILCRM","GENDER","AGE","SCHOOL","RACE","RELIGON","INCOME","JOBSTAT","OCCUPAT"
"1716",NA,2,16712,167,12,5,3,6,-8,6,2,7,7,6,-8,1,5,5,4,6,7,2,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,7,1,3,0,1,7,11,-9,1,0,1,11,-9,1,0,2,5,3,1,2,1,2,2,6,4,2,7,7,4,5,4,7,1,4,1,1,4,4,6,0,0,-8,2,3,3,2,1,7,1,4
"1717",NA,2,16802,168,2,6,2,7,6,7,1,5,6,7,2,3,3,6,6,6,6,2,2,4,1,0,0,0,0,0,0,0,0,2,7,1,2,0,1,7,8,0,0,0,-9,8,0,0,0,1,6,6,6,5,2,1,1,5,4,1,6,2,7,7,7,6,5,7,5,1,6,5,6,0,0,-8,1,3,5,2,1,7,1,1
"1718",NA,2,16803,168,3,7,2,7,-8,7,1,7,7,6,4,3,3,7,6,7,7,2,1,4,0,0,0,0,1,0,0,0,0,1,6,4,2,0,1,7,8,-9,-9,0,1,8,-9,-9,0,1,7,6,4,4,1,1,1,7,5,1,7,1,7,7,7,7,6,6,4,1,7,7,4,0,0,-8,2,3,3,2,1,5,3,3
"1719",NA,2,16804,168,4,7,4,6,6,7,1,6,7,1,6,4,5,6,4,7,7,2,1,4,0,0,0,0,1,0,0,0,0,1,7,1,2,0,1,7,8,0,0,0,1,8,0,0,0,1,7,4,2,1,1,1,1,7,4,1,7,1,7,7,7,7,2,7,-9,1,6,6,4,0,0,-8,2,3,2,2,2,5,1,1
"1720",NA,2,16810,168,10,5,1,7,-8,7,1,7,7,7,1,7,7,4,4,7,5,2,1,-9,0,0,0,0,0,0,0,0,0,-9,2,1,6,0,1,7,8,-9,-9,0,1,8,-9,-9,0,1,5,4,4,1,1,1,1,7,5,1,6,2,7,7,7,7,6,7,-9,1,6,2,7,0,0,-8,1,2,2,2,4,7,1,1
"1721",NA,2,16901,169,1,3,1,7,7,7,1,4,4,4,4,4,4,7,7,7,7,4,1,3,0,0,0,1,0,0,0,0,0,4,7,1,2,1,1,7,9,3,-9,0,-9,12,0,-9,0,6,7,6,6,5,1,2,2,7,6,4,4,4,6,6,7,7,1,4,4,1,4,4,7,0,1,2,1,4,3,2,3,5,1,1
"1722",NA,2,16902,169,2,5,4,6,5,7,2,4,6,4,2,5,3,5,5,6,5,3,2,3,1,0,0,0,0,0,0,0,0,1,7,1,1,1,1,7,9,3,0,0,1,12,0,0,0,5,5,5,4,5,5,4,4,4,4,4,4,5,7,5,5,7,6,5,5,1,5,5,5,0,1,2,1,2,4,2,2,6,1,1
"1723",NA,2,16903,169,3,1,3,6,7,7,2,5,5,4,3,5,2,6,7,5,6,2,3,4,0,1,0,1,1,1,0,0,0,7,4,7,1,1,2,6,8,4,-9,0,-9,12,-9,-9,0,3,7,5,5,2,1,1,1,7,7,1,7,7,6,7,6,7,6,4,6,2,4,6,7,0,0,-8,1,3,3,2,2,5,1,3
"1724",NA,2,16904,169,4,1,3,6,6,7,1,6,5,4,4,4,2,3,6,6,6,4,2,4,0,0,0,1,0,0,0,0,0,7,4,1,1,1,2,6,9,3,-9,0,1,12,0,-9,0,5,4,7,3,3,1,2,1,4,7,6,5,5,6,6,6,7,1,-9,-9,-9,-9,7,4,0,1,2,2,1,4,2,4,6,2,1
"1725",NA,2,16905,169,5,4,5,7,6,7,5,7,6,5,3,5,4,6,5,7,6,3,2,4,0,0,0,1,1,0,0,0,0,1,5,5,1,1,1,7,9,3,0,0,1,12,0,0,0,3,7,7,4,4,1,2,1,6,7,1,7,5,6,6,7,7,4,6,-9,1,6,6,-9,0,1,2,2,3,3,2,2,7,1,4
